Target,Left_Word,Right_Word,Correct
Suicide,"Death or Me","Life or Not Me",1
Die,"Death or Me","Life or Not Me",1
Funeral,"Death or Me","Life or Not Me",1
Lifeless,"Death or Me","Life or Not Me",1
Deceased,"Death or Me","Life or Not Me",1
Dying,"Death or Me","Life or Not Me",1
Dead,"Death or Me","Life or Not Me",1
Alive,"Death or Me","Life or Not Me",2
Live,"Death or Me","Life or Not Me",2
Thrive,"Death or Me","Life or Not Me",2
Survive,"Death or Me","Life or Not Me",2
Breathing,"Death or Me","Life or Not Me",2
Being,"Death or Me","Life or Not Me",2
Living,"Death or Me","Life or Not Me",2
Myself,"Death or Me","Life or Not Me",1
My,"Death or Me","Life or Not Me",1
Mine,"Death or Me","Life or Not Me",1
I,"Death or Me","Life or Not Me",1
Self,"Death or Me","Life or Not Me",1
We,"Death or Me","Life or Not Me",1
Us,"Death or Me","Life or Not Me",1
Them,"Death or Me","Life or Not Me",2
They,"Death or Me","Life or Not Me",2
Theirs,"Death or Me","Life or Not Me",2
Their,"Death or Me","Life or Not Me",2
Other,"Death or Me","Life or Not Me",2
Themselves,"Death or Me","Life or Not Me",2
Others,"Death or Me","Life or Not Me",2
