orderNum,text,url,millisecondsOnPage,responseDelay,subjectId,response,id
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects07.jpg,47440,45955,AM031,0,02a37d1b-82f3-4d53-81dd-241ef21df3f3
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects03.jpg,19770,18150,AR868,0,032987e8-6fc3-4090-884c-c420ed103dda
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects08.jpg,37060,36115,AV614,0,0d866ee8-c84f-4eb6-8529-d70e89851180
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects05.jpg,33555,32455,AP299,0,122853de-7fe5-4142-9b5e-5a1e755a900b
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects12.jpg,16335,15445,AQ029,0,258828b9-7c35-4e4f-a87f-02124f24f68c
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects04.jpg,34840,31860,AZ007,0,39c15ac2-2882-415a-b4e3-18d88766802f
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects10.jpg,52920,50405,AU922,0,53a476e3-a761-4e55-ab81-9fa15c991c28
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects11.jpg,17935,17205,AL473,0,549c2297-9be7-4fee-8a76-65f6faae7bc5
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects10.jpg,26385,23275,AW656,0,63ecaf14-b880-46c8-8d69-5facbd616f63
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects08.jpg,12315,10760,AT042,0,677a3aa0-db08-4164-be5c-4ed3fa3c7db3
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects03.jpg,33470,32685,"AN590   ",0,77675883-db0a-4335-b2a8-f66bd18ade32
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects02.jpg,14320,12760,AV940,0,9ceda3c8-dc8a-41db-9a56-0790b87c44a4
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects08.jpg,41750,32820,AW709,1,c4ba1e73-fc7b-4790-a1cc-8230a15aade2
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects06.jpg,27250,26270,AL550,1,c630e87a-439a-46bc-8161-1c1fe4a1565c
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects12.jpg,14655,13550,AL016,0,d91a20b9-4914-4ff6-aba8-7d05e1c434b2
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects11.jpg,31510,30050,AY394,1,dd734b79-9fe7-4001-b17a-eee247737cce
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects03.jpg,26305,25135,AW653,0,e948eb2c-3ffe-4ce7-9877-c9dbdf9c58f3
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects06.jpg,63735,61875,AR560,0,f30dfa7f-f44c-4b60-9cef-87ea9d957080
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects07.jpg,36400,25745,AM031,5,02a37d1b-82f3-4d53-81dd-241ef21df3f3
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects03.jpg,16255,10925,AR868,5,032987e8-6fc3-4090-884c-c420ed103dda
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects08.jpg,12660,12660,AV614,5,0d866ee8-c84f-4eb6-8529-d70e89851180
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects05.jpg,13805,13805,AP299,5,122853de-7fe5-4142-9b5e-5a1e755a900b
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects12.jpg,23930,23930,AQ029,5,258828b9-7c35-4e4f-a87f-02124f24f68c
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects04.jpg,11250,8895,AZ007,5,39c15ac2-2882-415a-b4e3-18d88766802f
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects10.jpg,17595,17595,AU922,5,53a476e3-a761-4e55-ab81-9fa15c991c28
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects11.jpg,21700,13995,AL473,5,549c2297-9be7-4fee-8a76-65f6faae7bc5
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects10.jpg,14590,14585,AW656,5,63ecaf14-b880-46c8-8d69-5facbd616f63
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects08.jpg,38720,30240,AT042,7,677a3aa0-db08-4164-be5c-4ed3fa3c7db3
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects03.jpg,25135,21785,"AN590   ",9,77675883-db0a-4335-b2a8-f66bd18ade32
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects02.jpg,17025,14780,AV940,3,9ceda3c8-dc8a-41db-9a56-0790b87c44a4
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects08.jpg,24365,22380,AW709,5,c4ba1e73-fc7b-4790-a1cc-8230a15aade2
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects06.jpg,16925,14400,AL550,5,c630e87a-439a-46bc-8161-1c1fe4a1565c
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects12.jpg,19145,7165,AL016,9,d91a20b9-4914-4ff6-aba8-7d05e1c434b2
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects11.jpg,15705,11960,AY394,3,dd734b79-9fe7-4001-b17a-eee247737cce
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects03.jpg,39475,14745,AW653,5,e948eb2c-3ffe-4ce7-9877-c9dbdf9c58f3
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects06.jpg,14500,5495,AR560,8,f30dfa7f-f44c-4b60-9cef-87ea9d957080
0,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_objects/control_objects07.jpg,7920,7920,AM031,5,02a37d1b-82f3-4d53-81dd-241ef21df3f3
